Linux 5.4.0-33-generic (control) 	06/03/2020 	_x86_64_	(2 CPU)

09:50:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:50:40 PM  all    3.79    0.00    2.53    0.00    0.00    0.51    0.00    0.00    0.00   93.18
09:50:42 PM  all    4.80    0.00    2.27    0.00    0.00    0.51    0.00    0.00    0.00   92.42
09:50:44 PM  all    4.04    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   94.44
09:50:46 PM  all    5.03    0.00    2.51    0.75    0.00    0.00    0.00    0.00    0.00   91.71
09:50:48 PM  all   25.19    0.00   13.62    0.00    0.00    2.06    0.00    0.00    0.00   59.13
09:50:50 PM  all    7.02    0.00    8.27    0.50    0.00    0.75    0.00    0.00    0.00   83.46
09:50:52 PM  all   16.50    0.00    5.84    0.00    0.00    2.79    0.00    0.00    0.00   74.87
09:50:54 PM  all    4.46    0.00    3.67    0.00    0.00   61.42    0.00    0.00    0.00   30.45
09:50:56 PM  all    2.57    0.00    4.11    0.00    0.00   62.47    0.00    0.00    0.00   30.85
09:50:58 PM  all    3.88    0.00    3.88    0.00    0.00   59.69    0.00    0.00    0.00   32.56
09:51:00 PM  all    3.97    0.00    3.17    0.00    0.00   61.64    0.00    0.00    0.00   31.22
09:51:02 PM  all    4.31    0.00    3.05    0.00    0.00   51.52    0.00    0.00    0.00   41.12
09:51:04 PM  all    3.08    0.00    3.34    0.00    0.00   53.98    0.00    0.00    0.00   39.59
09:51:06 PM  all    2.77    0.00    1.51    0.00    0.00   52.14    0.00    0.00    0.00   43.58
09:51:08 PM  all    2.62    0.00    2.89    0.00    0.00   63.78    0.00    0.00    0.00   30.71
09:51:10 PM  all    4.50    0.00    2.91    0.00    0.00   65.61    0.00    0.00    0.00   26.98
09:51:12 PM  all    6.01    0.00    4.18    0.00    0.00   65.01    0.00    0.00    0.00   24.80
09:51:14 PM  all    4.24    0.00    3.71    0.00    0.00   67.90    0.00    0.00    0.00   24.14
09:51:16 PM  all    2.58    0.00    4.13    0.00    0.00   63.05    0.00    0.00    0.00   30.23
09:51:18 PM  all    4.02    0.00    3.75    0.00    0.00   67.02    0.00    0.00    0.00   25.20
09:51:20 PM  all    4.75    0.00    3.96    0.00    0.00   60.95    0.00    0.00    0.00   30.34
09:51:22 PM  all    4.81    0.00    3.29    0.00    0.00   49.87    0.00    0.00    0.00   42.03
09:51:24 PM  all    2.76    0.00    2.76    0.00    0.00   49.75    0.00    0.00    0.00   44.72
09:51:26 PM  all    2.07    0.00    2.07    0.00    0.00   64.86    0.00    0.00    0.00   31.01
09:51:28 PM  all    3.03    0.00    3.03    0.00    0.00   53.03    0.00    0.00    0.00   40.91
09:51:30 PM  all    4.29    0.00    3.79    0.00    0.00   53.03    0.00    0.00    0.00   38.89
09:51:32 PM  all    4.01    0.00    3.51    0.00    0.00   49.62    0.00    0.00    0.00   42.86
09:51:34 PM  all    3.11    0.00    3.37    0.00    0.00   56.99    0.00    0.00    0.00   36.53
09:51:36 PM  all    3.80    0.00    2.28    0.00    0.00   55.95    0.00    0.00    0.00   37.97
09:51:38 PM  all    2.55    0.00    2.55    0.00    0.00   50.26    0.00    0.00    0.00   44.64
09:51:40 PM  all    5.07    0.00    2.40    0.00    0.00   59.20    0.00    0.00    0.00   33.33
09:51:42 PM  all    4.01    0.00    4.55    0.00    0.00   65.78    0.00    0.00    0.00   25.67
09:51:44 PM  all    3.84    0.00    3.32    0.00    0.00   52.69    0.00    0.00    0.00   40.15
09:51:46 PM  all    2.45    0.00    3.26    0.00    0.00   65.49    0.00    0.00    0.00   28.80
09:51:48 PM  all    3.08    0.00    2.57    0.00    0.00   57.84    0.00    0.00    0.00   36.50
09:51:50 PM  all    3.33    0.00    3.08    0.00    0.00   52.05    0.00    0.00    0.00   41.54
09:51:52 PM  all    4.91    0.00    2.84    0.00    0.00   55.04    0.00    0.00    0.00   37.21
09:51:54 PM  all    3.05    0.00    2.29    0.00    0.00   52.42    0.00    0.00    0.00   42.24
09:51:56 PM  all    2.57    0.00    2.57    0.00    0.00   52.44    0.00    0.00    0.00   42.42
09:51:58 PM  all    2.53    0.00    2.78    0.00    0.00   49.37    0.00    0.00    0.00   45.32
09:52:00 PM  all    4.79    0.00    3.02    0.00    0.00   51.89    0.00    0.00    0.00   40.30
09:52:02 PM  all    4.91    0.00    4.13    0.00    0.00   55.81    0.00    0.00    0.00   35.14
09:52:04 PM  all    3.12    0.00    2.60    0.00    0.00   58.85    0.00    0.00    0.00   35.42
09:52:06 PM  all    3.77    0.00    3.23    0.00    0.00   66.58    0.00    0.00    0.00   26.42
09:52:08 PM  all    3.48    0.00    3.21    0.00    0.00   66.84    0.00    0.00    0.00   26.47
09:52:10 PM  all    4.92    0.00    3.37    0.00    0.00   58.55    0.00    0.00    0.00   33.16
09:52:12 PM  all    3.14    0.00    4.71    0.00    0.00   64.92    0.00    0.00    0.00   27.23
09:52:14 PM  all    4.08    0.00    3.26    0.00    0.00   66.58    0.00    0.00    0.00   26.09
09:52:16 PM  all    2.86    0.00    3.91    0.26    0.00   66.15    0.00    0.00    0.00   26.82
09:52:18 PM  all    3.39    0.00    2.34    0.00    0.00   61.46    0.00    0.00    0.00   32.81
09:52:20 PM  all    2.93    0.00    3.73    0.00    0.00   66.13    0.00    0.00    0.00   27.20
09:52:22 PM  all    4.23    0.00    4.76    0.00    0.00   66.14    0.00    0.00    0.00   24.87
09:52:24 PM  all    2.89    0.00    3.15    0.26    0.00   61.68    0.00    0.00    0.00   32.02
09:52:26 PM  all    2.89    0.00    2.63    0.00    0.00   67.11    0.00    0.00    0.00   27.37
09:52:28 PM  all    2.79    0.00    3.05    0.00    0.00   51.27    0.00    0.00    0.00   42.89
09:52:30 PM  all    4.75    0.00    4.22    0.00    0.00   66.23    0.00    0.00    0.00   24.80
