Linux 5.4.0-33-generic (node1) 	06/03/2020 	_x86_64_	(2 CPU)

09:50:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:50:41 PM  all    2.02    0.00    1.76    0.00    0.00    0.25    0.00    0.00    0.00   95.97
09:50:43 PM  all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.24
09:50:45 PM  all    2.02    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   96.47
09:50:47 PM  all   12.24    0.00   13.27    0.26    0.00    0.51    0.00    0.00    0.00   73.72
09:50:49 PM  all    5.79    0.00    6.30    0.00    0.00    1.01    0.00    0.00    0.00   86.90
09:50:51 PM  all    4.05    0.00    4.05    0.00    0.00    0.25    0.00    0.00    0.00   91.65
09:50:53 PM  all    1.02    0.00    2.80    0.00    0.00   27.23    0.00    0.00    0.00   68.96
09:50:55 PM  all    2.80    0.00    5.09    0.00    0.00   44.27    0.00    0.00    0.00   47.84
09:50:57 PM  all    1.80    0.00    3.61    0.00    0.00   50.26    0.00    0.00    0.00   44.33
09:50:59 PM  all    1.29    0.00    5.41    0.00    0.00   44.59    0.00    0.00    0.00   48.71
09:51:01 PM  all    3.50    0.00    3.75    0.00    0.00   41.75    0.00    0.00    0.00   51.00
09:51:03 PM  all    1.24    0.00    3.47    0.00    0.00   37.72    0.00    0.00    0.00   57.57
09:51:05 PM  all    3.35    0.00    3.61    0.00    0.00   40.72    0.00    0.00    0.00   52.32
09:51:07 PM  all    0.78    0.00    4.40    0.00    0.00   41.19    0.00    0.00    0.00   53.63
09:51:09 PM  all    2.28    0.00    4.05    0.00    0.00   49.37    0.00    0.00    0.00   44.30
09:51:11 PM  all    3.48    0.00    3.23    0.00    0.00   45.52    0.00    0.00    0.00   47.76
09:51:13 PM  all    1.79    0.00    4.08    0.00    0.00   47.45    0.00    0.00    0.00   46.68
09:51:15 PM  all    3.35    0.00    5.41    0.00    0.00   47.16    0.00    0.00    0.00   44.07
09:51:17 PM  all    2.53    0.00    4.29    0.00    0.00   46.21    0.00    0.00    0.00   46.97
09:51:19 PM  all    1.50    0.00    5.01    0.00    0.00   44.36    0.00    0.00    0.00   49.12
