Linux 4.15.0-101-generic (control) 	06/03/2020 	_x86_64_	(2 CPU)

05:44:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:44:11 AM  all    4.99    0.00    2.00    0.00    0.00    0.75    0.00    0.00    0.00   92.27
05:44:13 AM  all    4.24    0.00    3.49    0.25    0.00    0.50    0.00    0.00    0.00   91.52
05:44:15 AM  all    3.76    0.00    2.51    0.00    0.00    0.50    0.00    0.00    0.00   93.23
05:44:17 AM  all    2.51    0.00    2.51    0.00    0.00    0.25    0.00    0.00    0.00   94.72
05:44:19 AM  all   15.11    0.00    7.30    0.50    0.00    1.76    0.00    0.00    0.00   75.31
05:44:21 AM  all    9.77    0.00    7.02    2.51    0.00    0.75    0.00    0.00    0.00   79.95
05:44:23 AM  all   14.32    0.00    9.21    0.00    0.00    3.32    0.00    0.00    0.00   73.15
05:44:25 AM  all   13.23    0.00   11.45    0.00    0.00    4.58    0.00    0.00    0.00   70.74
05:44:27 AM  all   37.37    0.00   20.96    0.00    0.00    2.02    0.00    0.00    0.00   39.65
05:44:29 AM  all   36.99    0.00   23.98    6.38    0.00    1.79    0.00    0.00    0.00   30.87
05:44:31 AM  all    3.02    0.00    3.27    0.50    0.00    0.76    0.00    0.00    0.00   92.44
05:44:33 AM  all    5.71    0.00    3.23    0.00    0.00    0.50    0.00    0.00    0.00   90.57
05:44:35 AM  all    8.56    0.00    4.79    0.00    0.00    0.76    0.00    0.00    0.00   85.89
05:44:37 AM  all    2.76    0.00    1.51    0.00    0.00    0.50    0.00    0.00    0.00   95.23
05:44:39 AM  all    2.74    0.00    2.99    0.25    0.00    0.25    0.00    0.00    0.00   93.77
05:44:41 AM  all    2.26    0.00    1.76    0.00    0.00    0.50    0.00    0.00    0.00   95.48
05:44:43 AM  all    6.39    0.00    4.18    0.00    0.00    1.23    0.00    0.00    0.00   88.21
05:44:45 AM  all    3.50    0.00    2.50    0.00    0.00    0.25    0.00    0.00    0.00   93.75
05:44:47 AM  all    3.04    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   94.94
