Linux 4.15.0-101-generic (node1) 	06/03/2020 	_x86_64_	(2 CPU)

05:44:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:44:10 AM  all    1.26    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.72
05:44:12 AM  all    1.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   97.99
05:44:14 AM  all    1.26    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   96.98
05:44:16 AM  all    1.50    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   97.24
05:44:18 AM  all    1.01    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.23
05:44:20 AM  all    3.06    0.00    3.06    1.53    0.00    0.26    0.00    0.00    0.00   92.09
05:44:22 AM  all    6.06    0.00    4.55    1.01    0.00    0.76    0.00    0.00    0.00   87.63
05:44:24 AM  all    3.84    0.00    2.30    0.00    0.00    0.26    0.00    0.00    0.00   93.61
05:44:26 AM  all   10.48    0.00   11.02    0.00    0.00    3.76    0.00    0.00    0.00   74.73
05:44:28 AM  all   36.95    0.00   26.10    0.00    0.00    2.07    0.00    0.00    0.00   34.88
05:44:30 AM  all   26.40    0.00   31.73    5.58    0.00    1.02    0.00    0.00    0.00   35.28
05:44:32 AM  all    1.53    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   97.71
05:44:34 AM  all    2.51    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   96.24
05:44:36 AM  all    0.76    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.74
05:44:38 AM  all    0.76    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   97.98
05:44:40 AM  all    1.51    0.00    1.51    0.25    0.00    0.25    0.00    0.00    0.00   96.48
05:44:42 AM  all    0.76    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.49
05:44:44 AM  all    2.02    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   96.46
05:44:46 AM  all    1.01    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.49
05:44:48 AM  all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.99
05:44:50 AM  all    1.76    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   96.73
05:44:52 AM  all    1.01    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.99
