Linux 5.4.0-33-generic (control) 	06/03/2020 	_x86_64_	(2 CPU)

07:54:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:54:40 PM  all    1.76    0.00    1.76    0.00    0.00    0.50    0.00    0.00    0.00   95.98
07:54:42 PM  all    3.07    0.00    2.05    0.00    0.00    0.26    0.00    0.00    0.00   94.63
07:54:44 PM  all    3.28    0.00    1.26    0.00    0.00    0.51    0.00    0.00    0.00   94.95
07:54:46 PM  all    3.02    0.00    3.27    0.00    0.00    0.50    0.00    0.00    0.00   93.20
07:54:48 PM  all    3.06    0.00    1.79    0.00    0.00    0.00    0.00    0.00    0.00   95.15
07:54:50 PM  all    1.28    0.00    0.77    0.00    0.00    0.26    0.00    0.00    0.00   97.69
07:54:52 PM  all    4.27    0.00    2.51    0.00    0.00    0.75    0.00    0.00    0.00   92.46
07:54:54 PM  all    2.53    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   95.96
07:54:56 PM  all    4.04    0.00    2.53    0.00    0.00    0.25    0.00    0.00    0.00   93.18
07:54:58 PM  all    3.06    0.00    1.53    0.00    0.00    0.77    0.00    0.00    0.00   94.64
07:55:00 PM  all    2.28    0.00    0.76    0.25    0.00    0.25    0.00    0.00    0.00   96.46
07:55:02 PM  all    3.78    0.00    2.02    0.00    0.00    0.76    0.00    0.00    0.00   93.45
07:55:04 PM  all    2.53    0.00    2.02    0.00    0.00    0.25    0.00    0.00    0.00   95.20
07:55:06 PM  all    3.80    0.00    2.03    0.00    0.00    0.51    0.00    0.00    0.00   93.67
07:55:08 PM  all    2.78    0.00    2.27    0.00    0.00    0.51    0.00    0.00    0.00   94.44
07:55:10 PM  all    2.51    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   96.24
07:55:12 PM  all    5.82    0.00    2.28    0.00    0.00    0.76    0.00    0.00    0.00   91.14
07:55:14 PM  all    3.04    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   95.19
07:55:16 PM  all   16.07    0.00    7.14    3.32    0.00    0.51    0.00    0.00    0.00   72.96
07:55:18 PM  all   15.91    0.00    9.85    0.25    0.00    1.01    0.00    0.00    0.00   72.98
07:55:20 PM  all    4.06    0.00    3.30    0.00    0.00    1.02    0.00    0.00    0.00   91.62
07:55:22 PM  all   10.88    0.00    5.96    0.26    0.00    2.33    0.00    0.00    0.00   80.57
