vagrant@node1:~$ mpstat 2 10000
Linux 4.15.0-101-generic (node1) 	06/03/2020 	_x86_64_	(2 CPU)

03:22:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:22:12 AM  all    1.01    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.24
03:22:14 AM  all    0.75    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.25
03:22:16 AM  all    8.88    0.00    6.35    2.79    0.00    0.76    0.00    0.00    0.00   81.22
03:22:18 AM  all    3.54    0.00    5.30    0.00    0.00    0.51    0.00    0.00    0.00   90.66
03:22:20 AM  all    3.88    0.00    3.88    0.00    0.00    0.78    0.00    0.00    0.00   91.47
03:22:22 AM  all    4.39    0.00    3.88    0.00    0.00    1.29    0.00    0.00    0.00   90.44
03:22:24 AM  all   24.23    0.00   18.30    0.26    0.00    3.35    0.00    0.00    0.00   53.87
03:22:26 AM  all   43.18    0.00   19.70    4.29    0.00    1.52    0.00    0.00    0.00   31.31
03:22:28 AM  all    5.09    0.00    6.87    1.27    0.00    1.02    0.00    0.00    0.00   85.75
03:22:30 AM  all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:22:32 AM  all    2.93    0.00    4.52    0.00    0.00   38.56    0.00    0.00    0.00   53.99
03:22:34 AM  all    1.56    0.00    4.16    0.00    0.00   46.75    0.00    0.00    0.00   47.53
03:22:36 AM  all    0.52    0.00    2.35    0.00    0.00   49.61    0.00    0.00    0.00   47.52
03:22:38 AM  all    3.75    0.00    4.56    0.00    0.00   45.58    0.00    0.00    0.00   46.11
03:22:40 AM  all    1.04    0.00    3.39    0.00    0.00   48.04    0.00    0.00    0.00   47.52
03:22:42 AM  all    1.81    0.00    3.88    0.00    0.00   48.06    0.00    0.00    0.00   46.25
03:22:44 AM  all    1.33    0.00    4.00    0.00    0.00   51.20    0.00    0.00    0.00   43.47
03:22:46 AM  all    0.26    0.00    3.10    0.00    0.00   51.16    0.00    0.00    0.00   45.48
03:22:48 AM  all    3.67    0.00    5.77    0.00    0.00   44.88    0.00    0.00    0.00   45.67
03:22:50 AM  all    0.77    0.00    3.85    0.00    0.00   49.74    0.00    0.00    0.00   45.64
03:22:52 AM  all    1.55    0.00    4.38    0.00    0.00   49.23    0.00    0.00    0.00   44.85
03:22:54 AM  all    1.34    0.00    3.74    0.00    0.00   50.80    0.00    0.00    0.00   44.12
03:22:56 AM  all    0.51    0.00    3.08    0.00    0.00   48.97    0.00    0.00    0.00   47.44
03:22:58 AM  all    3.78    0.00    4.86    0.00    0.00   48.11    0.00    0.00    0.00   43.24
03:23:00 AM  all    0.78    0.00    3.39    0.00    0.00   46.61    0.00    0.00    0.00   49.22
03:23:02 AM  all    1.07    0.00    4.02    0.00    0.00   48.26    0.00    0.00    0.00   46.65
03:23:04 AM  all    1.63    0.00    2.98    0.00    0.00   46.34    0.00    0.00    0.00   49.05
03:23:06 AM  all    0.79    0.00    3.16    0.00    0.00   54.74    0.00    0.00    0.00   41.32
03:23:08 AM  all    4.17    0.00    5.73    0.00    0.00   44.53    0.00    0.00    0.00   45.57
03:23:10 AM  all    0.78    0.00    3.89    0.00    0.00   49.22    0.00    0.00    0.00   46.11
03:23:12 AM  all    1.60    0.00    4.52    0.00    0.00   52.13    0.00    0.00    0.00   41.76
03:23:14 AM  all    0.78    0.00    3.63    0.26    0.00   47.67    0.00    0.00    0.00   47.67

03:23:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:23:16 AM  all    0.52    0.00    3.15    0.00    0.00   48.82    0.00    0.00    0.00   47.51
03:23:18 AM  all    4.07    0.00    4.61    0.00    0.00   44.17    0.00    0.00    0.00   47.15
03:23:20 AM  all    0.54    0.00    3.50    0.00    0.00   44.20    0.00    0.00    0.00   51.75
03:23:22 AM  all    1.55    0.00    4.64    0.00    0.00   47.68    0.00    0.00    0.00   46.13
03:23:24 AM  all    1.29    0.00    3.88    0.00    0.00   47.80    0.00    0.00    0.00   47.03
03:23:26 AM  all    0.55    0.00    3.30    0.00    0.00   44.23    0.00    0.00    0.00   51.92
03:23:28 AM  all    3.45    0.00    4.24    0.00    0.00   47.21    0.00    0.00    0.00   45.09
03:23:30 AM  all    0.52    0.00    2.62    0.00    0.00   49.21    0.00    0.00    0.00   47.64
03:23:32 AM  all    1.59    0.00    3.17    0.00    0.00   51.06    0.00    0.00    0.00   44.18
03:23:34 AM  all    0.77    0.00    3.08    0.00    0.00   49.87    0.00    0.00    0.00   46.27
03:23:36 AM  all    1.03    0.00    3.09    0.00    0.00   47.94    0.00    0.00    0.00   47.94
03:23:38 AM  all    2.94    0.00    7.22    0.00    0.00   46.79    0.00    0.00    0.00   43.05
03:23:40 AM  all    0.79    0.00    3.68    0.00    0.00   46.05    0.00    0.00    0.00   49.47
03:23:42 AM  all    0.78    0.00    4.39    0.00    0.00   49.61    0.00    0.00    0.00   45.22
