Linux 4.15.0-101-generic (node2) 	06/03/2020 	_x86_64_	(2 CPU)

03:22:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:22:12 AM  all    0.51    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.48
03:22:14 AM  all    0.75    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.75
03:22:16 AM  all   10.41    0.00   10.66    5.08    0.00    0.76    0.00    0.00    0.00   73.10
03:22:18 AM  all    4.05    0.00    3.29    0.25    0.00    0.51    0.00    0.00    0.00   91.90
03:22:20 AM  all    7.49    0.00    6.72    0.00    0.00    1.81    0.00    0.00    0.00   83.98
03:22:22 AM  all    6.44    0.00    6.70    0.00    0.00    2.06    0.00    0.00    0.00   84.79
03:22:24 AM  all   36.36    0.00   18.18    0.00    0.00    0.76    0.00    0.00    0.00   44.70
03:22:26 AM  all   34.95    0.00   20.15    5.87    0.00    1.53    0.00    0.00    0.00   37.50
03:22:28 AM  all    3.53    0.00    4.03    1.76    0.00    0.00    0.00    0.00    0.00   90.68
03:22:30 AM  all    2.51    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   96.23
03:22:32 AM  all    3.25    0.00    5.42    0.00    0.00   20.33    0.00    0.00    0.00   71.00
03:22:34 AM  all    3.98    0.00    9.48    0.00    0.00   48.62    0.00    0.00    0.00   37.92
03:22:36 AM  all    3.94    0.00   10.30    0.00    0.00   52.12    0.00    0.00    0.00   33.64
03:22:38 AM  all    5.40    0.00    9.84    0.00    0.00   42.86    0.00    0.00    0.00   41.90
03:22:40 AM  all    4.44    0.32   10.48    0.00    0.00   46.03    0.00    0.00    0.00   38.73
03:22:42 AM  all    5.56    0.00   11.42    0.00    0.00   48.15    0.00    0.00    0.00   34.88
03:22:44 AM  all    4.14    0.00    9.55    0.00    0.00   46.82    0.00    0.00    0.00   39.49
03:22:46 AM  all    4.43    0.00    9.49    0.00    0.00   48.10    0.00    0.00    0.00   37.97
03:22:48 AM  all    4.78    0.00   11.15    0.00    0.00   45.54    0.00    0.00    0.00   38.54
03:22:50 AM  all    7.19    0.00   11.25    0.00    0.00   47.81    0.00    0.00    0.00   33.75
03:22:52 AM  all    4.44    0.00   10.48    0.00    0.00   47.94    0.00    0.00    0.00   37.14
03:22:54 AM  all    3.17    0.00    8.57    0.00    0.00   48.89    0.00    0.00    0.00   39.37
03:22:56 AM  all    5.62    0.00   10.95    0.00    0.00   47.93    0.00    0.00    0.00   35.50
03:22:58 AM  all    4.36    0.00   10.28    0.00    0.00   48.29    0.00    0.00    0.00   37.07
03:23:00 AM  all    4.89    0.00   11.31    0.00    0.00   48.93    0.00    0.00    0.00   34.86
03:23:02 AM  all    3.38    0.00    8.62    0.00    0.00   48.62    0.00    0.00    0.00   39.38
03:23:04 AM  all    1.64    0.00    8.22    0.00    0.00   47.04    0.00    0.00    0.00   43.09
03:23:06 AM  all    3.14    0.00    6.92    0.00    0.00   51.26    0.00    0.00    0.00   38.68
03:23:08 AM  all    4.67    0.00    9.97    0.00    0.00   42.68    0.00    0.00    0.00   42.68
03:23:10 AM  all    4.69    0.00    7.81    0.00    0.00   53.75    0.00    0.00    0.00   33.75
03:23:12 AM  all    5.48    0.00   11.61    0.00    0.00   43.23    0.00    0.00    0.00   39.68
03:23:14 AM  all    3.82    0.00   11.78    0.00    0.00   47.77    0.00    0.00    0.00   36.62

03:23:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:23:16 AM  all    4.87    0.00   11.04    0.00    0.00   45.13    0.00    0.00    0.00   38.96
03:23:18 AM  all    6.52    0.00    9.32    0.00    0.00   46.89    0.00    0.00    0.00   37.27
03:23:20 AM  all    4.05    0.00    8.96    0.00    0.00   48.84    0.00    0.00    0.00   38.15
03:23:22 AM  all    4.60    0.00    8.90    0.00    0.00   51.84    0.00    0.00    0.00   34.66
03:23:24 AM  all    3.79    0.00   11.36    0.00    0.00   47.95    0.00    0.00    0.00   36.91
03:23:26 AM  all    4.15    0.00   10.68    0.00    0.00   43.62    0.00    0.00    0.00   41.54
03:23:28 AM  all    6.23    0.00    9.50    0.00    0.00   42.43    0.00    0.00    0.00   41.84
03:23:30 AM  all    6.43    0.00    9.65    0.00    0.00   50.58    0.00    0.00    0.00   33.33
03:23:32 AM  all    4.60    0.00    9.51    0.00    0.00   49.39    0.00    0.00    0.00   36.50
03:23:34 AM  all    2.75    0.00    8.93    0.00    0.00   46.74    0.00    0.00    0.00   41.58
