Linux 4.15.0-101-generic (control) 	06/03/2020 	_x86_64_	(2 CPU)

03:46:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:46:18 AM  all   12.76    0.00    5.10    0.26    0.00    1.02    0.00    0.00    0.00   80.87
03:46:20 AM  all    2.02    0.00    1.52    0.00    0.00    0.51    0.00    0.00    0.00   95.96
03:46:22 AM  all    7.65    0.00    2.55    1.02    0.00    0.00    0.00    0.00    0.00   88.78
03:46:24 AM  all    6.65    0.00    4.35    2.56    0.00    0.51    0.00    0.00    0.00   85.93
03:46:26 AM  all   13.03    0.00    5.01    0.25    0.00    0.75    0.00    0.00    0.00   80.95
03:46:28 AM  all    4.85    0.00    2.55    0.00    0.00    0.26    0.00    0.00    0.00   92.35
03:46:30 AM  all    2.29    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   96.69
03:46:32 AM  all    2.79    0.00    2.03    0.00    0.00    0.25    0.00    0.00    0.00   94.92
03:46:34 AM  all    2.53    0.00    1.27    0.00    0.00    0.25    0.00    0.00    0.00   95.95
03:46:36 AM  all    1.01    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   97.97
03:46:38 AM  all    4.29    0.00    2.27    0.00    0.00    0.51    0.00    0.00    0.00   92.93
03:46:40 AM  all    2.78    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   95.44
03:46:42 AM  all    2.53    0.00    2.78    0.25    0.00    0.00    0.00    0.00    0.00   94.43
03:46:44 AM  all    2.27    0.00    1.26    0.00    0.00    0.51    0.00    0.00    0.00   95.96
03:46:46 AM  all    1.77    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   97.47
03:46:48 AM  all    4.52    0.00    3.02    0.00    0.00    0.25    0.00    0.00    0.00   92.21
03:46:50 AM  all    2.30    0.00    1.53    0.00    0.00    0.26    0.00    0.00    0.00   95.92
03:46:52 AM  all    3.31    0.00    1.27    0.25    0.00    0.76    0.00    0.00    0.00   94.40
03:46:54 AM  all    2.76    0.00    1.01    0.25    0.00    0.50    0.00    0.00    0.00   95.48
03:46:56 AM  all    2.01    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   96.48
03:46:58 AM  all    4.55    0.00    2.53    0.25    0.00    0.51    0.00    0.00    0.00   92.17
03:47:00 AM  all    2.29    0.00    0.51    0.25    0.00    0.51    0.00    0.00    0.00   96.44
03:47:02 AM  all    3.80    0.00    1.52    0.25    0.00    0.51    0.00    0.00    0.00   93.92
03:47:04 AM  all    2.03    0.00    1.01    0.25    0.00    0.25    0.00    0.00    0.00   96.46
03:47:06 AM  all    2.53    0.00    0.76    0.51    0.00    0.25    0.00    0.00    0.00   95.96
03:47:08 AM  all    4.05    0.00    2.78    0.00    0.00    0.25    0.00    0.00    0.00   92.91
03:47:10 AM  all    2.78    0.00    1.27    0.25    0.00    0.25    0.00    0.00    0.00   95.44
03:47:12 AM  all    3.52    0.00    2.26    0.00    0.00    0.25    0.00    0.00    0.00   93.97
03:47:14 AM  all    2.28    0.00    1.27    0.25    0.00    0.25    0.00    0.00    0.00   95.95
03:47:16 AM  all    3.55    0.00    0.76    0.25    0.00    0.25    0.00    0.00    0.00   95.18
03:47:18 AM  all    3.03    0.00    3.54    0.25    0.00    0.51    0.00    0.00    0.00   92.68
03:47:20 AM  all    2.54    0.00    1.78    0.25    0.00    0.51    0.00    0.00    0.00   94.92
03:47:22 AM  all    2.78    0.00    2.02    0.51    0.00    0.25    0.00    0.00    0.00   94.44
03:47:24 AM  all    1.54    0.00    0.77    0.00    0.00    0.26    0.00    0.00    0.00   97.43
03:47:26 AM  all    1.77    0.00    0.76    0.25    0.00    0.51    0.00    0.00    0.00   96.71
03:47:28 AM  all    4.79    0.00    2.77    0.25    0.00    0.50    0.00    0.00    0.00   91.69
03:47:30 AM  all    1.79    0.00    1.53    0.00    0.00    0.26    0.00    0.00    0.00   96.43
03:47:32 AM  all    2.78    0.00    2.53    0.25    0.00    0.25    0.00    0.00    0.00   94.19
03:47:34 AM  all    1.77    0.00    1.01    0.51    0.00    0.76    0.00    0.00    0.00   95.96
03:47:36 AM  all    2.03    0.00    1.02    0.00    0.00    0.25    0.00    0.00    0.00   96.70
03:47:38 AM  all    3.05    0.00    2.54    0.25    0.00    0.51    0.00    0.00    0.00   93.64
03:47:40 AM  all    2.27    0.00    2.02    0.50    0.00    0.50    0.00    0.00    0.00   94.71
03:47:42 AM  all    3.29    0.00    1.77    0.25    0.00    0.51    0.00    0.00    0.00   94.18
03:47:44 AM  all    2.03    0.00    1.27    0.25    0.00    0.00    0.00    0.00    0.00   96.45
03:47:46 AM  all    1.52    0.00    0.76    0.25    0.00    0.25    0.00    0.00    0.00   97.22
03:47:48 AM  all    3.28    0.00    3.54    0.00    0.00    0.51    0.00    0.00    0.00   92.68
03:47:50 AM  all    2.54    0.00    1.02    0.00    0.00    0.25    0.00    0.00    0.00   96.18
03:47:52 AM  all    2.76    0.00    2.76    0.00    0.00    0.75    0.00    0.00    0.00   93.73
03:47:54 AM  all    2.52    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   95.97
03:47:56 AM  all    2.02    0.00    1.01    0.25    0.00    0.25    0.00    0.00    0.00   96.47
03:47:58 AM  all    3.54    0.00    3.54    0.00    0.00    0.25    0.00    0.00    0.00   92.66
03:48:00 AM  all    3.75    0.00    1.75    0.50    0.00    0.75    0.00    0.00    0.00   93.25
03:48:02 AM  all    3.03    0.00    2.02    0.25    0.00    0.76    0.00    0.00    0.00   93.94
03:48:04 AM  all    3.25    0.00    1.25    0.25    0.00    0.50    0.00    0.00    0.00   94.75
03:48:06 AM  all    8.40    0.00    2.04    0.25    0.00    0.51    0.00    0.00    0.00   88.80
03:48:08 AM  all    4.62    0.00    3.33    0.26    0.00    0.77    0.00    0.00    0.00   91.03
03:48:10 AM  all    3.34    0.00    1.54    0.26    0.00    0.26    0.00    0.00    0.00   94.60
03:48:12 AM  all    3.08    0.00    2.82    0.51    0.00    1.03    0.00    0.00    0.00   92.56
03:48:14 AM  all    4.07    0.00    2.04    0.25    0.00    0.25    0.00    0.00    0.00   93.38
03:48:16 AM  all    1.54    0.00    0.51    0.51    0.00    0.51    0.00    0.00    0.00   96.92
03:48:18 AM  all    5.82    0.00    3.80    0.00    0.00    0.25    0.00    0.00    0.00   90.13
03:48:20 AM  all    2.05    0.00    1.54    0.26    0.00    0.51    0.00    0.00    0.00   95.64
03:48:22 AM  all    4.31    0.00    2.54    0.25    0.00    0.25    0.00    0.00    0.00   92.64
