Linux 5.4.0-33-generic (node1) 	06/03/2020 	_x86_64_	(2 CPU)

08:25:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:25:49 PM  all    1.77    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   96.20
08:25:51 PM  all    1.76    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   96.73
08:25:53 PM  all    0.76    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.49
08:25:55 PM  all    0.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.99
08:25:57 PM  all    1.01    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.24
08:25:59 PM  all    3.02    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   95.48
08:26:01 PM  all    1.76    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   96.73
08:26:03 PM  all    7.59    0.00    7.85    0.00    0.00    0.76    0.00    0.00    0.00   83.80
08:26:05 PM  all    3.08    0.00    1.79    0.00    0.00    0.77    0.00    0.00    0.00   94.36
08:26:07 PM  all   12.37    0.00   13.17    0.00    0.00    4.03    0.00    0.00    0.00   70.43
08:26:09 PM  all   51.89    0.00   25.69    0.25    0.00    0.50    0.00    0.00    0.00   21.66
08:26:11 PM  all   27.34    0.00   20.76    0.25    0.00    1.01    0.00    0.00    0.00   50.63
08:26:13 PM  all    2.00    0.00    1.50    0.00    0.00    0.25    0.00    0.00    0.00   96.26
08:26:15 PM  all    1.26    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   97.23
08:26:17 PM  all    1.26    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   97.74
08:26:19 PM  all    2.79    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   95.18
08:26:21 PM  all    2.01    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   96.49
08:26:23 PM  all    1.26    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.23
08:26:25 PM  all    0.75    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.50
08:26:27 PM  all    0.51    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.24
08:26:29 PM  all    3.04    0.00    1.77    0.00    0.00    0.25    0.00    0.00    0.00   94.94
08:26:31 PM  all    2.01    0.00    1.75    0.00    0.00    0.25    0.00    0.00    0.00   95.99
08:26:33 PM  all    0.76    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.74
08:26:35 PM  all    0.76    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   98.99
08:26:37 PM  all    1.01    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.99
08:26:39 PM  all    3.57    0.00    2.30    0.00    0.00    0.00    0.00    0.00    0.00   94.13
08:26:41 PM  all    2.02    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   96.21
08:26:43 PM  all    1.01    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.24
08:26:45 PM  all    0.75    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   98.00
08:26:47 PM  all    1.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   97.99
08:26:49 PM  all    2.53    0.00    3.28    0.00    0.00    0.00    0.00    0.00    0.00   94.19
08:26:51 PM  all    2.77    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   95.72
08:26:53 PM  all    0.76    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   98.23
08:26:55 PM  all    0.75    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.50
08:26:57 PM  all    0.75    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   98.24
08:26:59 PM  all    2.27    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.45
08:27:01 PM  all    2.27    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   96.22
08:27:03 PM  all    1.50    0.00    1.00    0.25    0.00    0.00    0.00    0.00    0.00   97.25
08:27:05 PM  all    0.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.99
08:27:07 PM  all    1.50    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   97.49
08:27:09 PM  all    3.28    0.00    2.27    0.00    0.00    0.25    0.00    0.00    0.00   94.19
08:27:11 PM  all    2.50    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   96.00
08:27:13 PM  all    0.76    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.48
08:27:15 PM  all    0.50    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.74
08:27:17 PM  all    0.50    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.99
08:27:19 PM  all    2.78    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   95.45
